
DEPTH           POR        PORW       BULK       PORT       PORF       PERM         HF         PF         SW         SH       CALC         CL       PORX       PORH        RWA       RMFA
1921.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     81.598      0.000     81.598      0.000      0.000      0.182      0.192
1921.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     76.201      0.000     76.201      0.000      0.000      0.068      0.076
1921.8750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     70.028      0.000     70.028      0.000      0.000      0.009      0.011
1922.0000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     62.906      0.000     62.906      0.000      0.000      0.153      0.201
1922.1250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.027    100.000     58.855      0.000     58.855      0.000      0.000      0.212      0.291
1922.2500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.028    100.000     59.548      0.000     59.548      0.000      0.000      0.181      0.251
1922.3750       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.028    100.000     62.783      0.000     62.783      0.000      0.000      0.196      0.269
1922.5000       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.028    100.000     57.158      0.000     57.158      0.000      0.000      0.218      0.297
1922.6250       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.028    100.000     48.269      0.000     48.269      0.000      0.000      0.198      0.276
1922.7500       0.001      0.001      0.000      0.001      0.001      0.010      0.277      1.028    100.000     38.899      0.000     38.899      0.000      0.000      0.183      0.267
1922.8750      27.069     27.069      0.000     27.069     27.069    227.389      0.277      1.062    100.000     30.902      0.000     30.902      0.000      0.000      0.191      0.282
1923.0000      28.520     28.520      0.000     28.520     28.520    499.047      0.277      1.098    100.000     21.857      0.000     21.857      0.000      0.000      0.199      0.298
1923.1250      29.250     29.250      0.000     29.250     29.250    741.554      0.277      1.134    100.000     11.723      0.000     11.723      0.000      0.000      0.202      0.308
1923.2500      29.728     29.728      0.000     29.728     29.728    960.759      0.277      1.171    100.000      6.647      0.000      6.647      0.000      0.000      0.202      0.330
1923.3750      30.082     30.082      0.000     30.082     30.082   1163.736      0.277      1.209    100.000      2.903      0.000      2.903      0.000      0.000      0.203      0.356
1923.5000      30.315     30.315      0.000     30.315     30.315   1320.773      0.277      1.247    100.000      0.992      0.000      0.992      0.000      0.000      0.208      0.386
1923.6250      30.431     30.431      0.000     30.431     30.431   1406.565      0.277      1.285    100.000      0.086      0.000      0.086      0.000      0.000      0.214      0.419
1923.7500      30.949     30.742      0.000     30.949     30.742   1861.846      0.277      1.324     99.332      0.000      0.000      0.000      0.103      0.103      0.224      0.455
1923.8750      31.570     30.442      0.000     31.570     30.442   2606.644      0.279      1.363     96.429      0.000      0.000      0.000      0.564      0.564      0.237      0.474
1924.0000      29.940     29.786      0.000     29.940     29.786   1077.833      0.279      1.400     99.484      0.000      0.000      0.000      0.077      0.077      0.224      0.444
1924.1250      26.152     26.152      0.000     26.152     26.152    138.334      0.279      1.433    100.000      0.007      0.000      0.007      0.000      0.000      0.195      0.360
